node_id,element_type,guid,associated_element_guid,text,length,pos_x,pos_y,info_string,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax
0,DimNode 0,6B384789-FF24-464E-8578-5838C1C2E80F,00000000-0000-0000-0000-000000000000,0.000,0.00,102.21,10.62,Dim Node 0,102.21,10.61,0.0,102.22,10.62,0.0
1,DimNode 1,6B384789-FF24-464E-8578-5838C1C2E80F,00000000-0000-0000-0000-000000000000,3.300,3.30,105.51,10.62,Dim Node 1,105.51,10.61,0.0,105.52,10.62,0.0
2,DimNode 2,6B384789-FF24-464E-8578-5838C1C2E80F,00000000-0000-0000-0000-000000000000,3.300,3.30,108.81,10.62,Dim Node 2,108.81,10.61,0.0,108.82,10.62,0.0
3,DimNode 3,6B384789-FF24-464E-8578-5838C1C2E80F,00000000-0000-0000-0000-000000000000,3.300,3.30,112.11,10.62,Dim Node 3,112.11,10.61,0.0,112.12,10.62,0.0
4,DimNode 4,6B384789-FF24-464E-8578-5838C1C2E80F,00000000-0000-0000-0000-000000000000,3.300,3.30,115.41,10.62,Dim Node 4,115.41,10.61,0.0,115.42,10.62,0.0
5,DimNode 5,6B384789-FF24-464E-8578-5838C1C2E80F,00000000-0000-0000-0000-000000000000,3.300,3.30,118.71,10.62,Dim Node 5,118.71,10.61,0.0,118.72,10.62,0.0
6,DimNode 6,6B384789-FF24-464E-8578-5838C1C2E80F,00000000-0000-0000-0000-000000000000,3.300,3.30,122.01,10.62,Dim Node 6,122.01,10.61,0.0,122.02,10.62,0.0
7,DimNode 7,6B384789-FF24-464E-8578-5838C1C2E80F,00000000-0000-0000-0000-000000000000,3.300,3.30,125.31,10.62,Dim Node 7,125.31,10.61,0.0,125.32,10.62,0.0
8,Dimension,6B384789-FF24-464E-8578-5838C1C2E80F,,,23.10,,,Dim 1,102.15,10.52,0.0,125.37,10.71,0.0
4175,DimText 0,6B384789-FF24-464E-8578-5838C1C2E80F,,0.000,,101.87,10.66,Dim Text 0,101.87,10.66,0.0,102.37,11.16,0.0
4176,DimText 1,6B384789-FF24-464E-8578-5838C1C2E80F,,3.300,,103.52,10.66,Dim Text 1,103.52,10.66,0.0,104.02,11.16,0.0
4177,DimText 2,6B384789-FF24-464E-8578-5838C1C2E80F,,3.300,,106.82,10.66,Dim Text 2,106.82,10.66,0.0,107.32,11.16,0.0
4178,DimText 3,6B384789-FF24-464E-8578-5838C1C2E80F,,3.300,,110.12,10.66,Dim Text 3,110.12,10.66,0.0,110.62,11.16,0.0
4179,DimText 4,6B384789-FF24-464E-8578-5838C1C2E80F,,3.300,,113.42,10.66,Dim Text 4,113.42,10.66,0.0,113.92,11.16,0.0
4180,DimText 5,6B384789-FF24-464E-8578-5838C1C2E80F,,3.300,,116.72,10.66,Dim Text 5,116.72,10.66,0.0,117.22,11.16,0.0
4181,DimText 6,6B384789-FF24-464E-8578-5838C1C2E80F,,3.300,,120.02,10.66,Dim Text 6,120.02,10.66,0.0,120.52,11.16,0.0
4182,DimText 7,6B384789-FF24-464E-8578-5838C1C2E80F,,3.300,,123.32,10.66,Dim Text 7,123.32,10.66,0.0,123.82,11.16,0.0
